duration,title,album,image_200,image_400,image_800,shortUrl,contentLang,release_date,gaana_id,provider,singers
224,Ve Maahi,Kesari,https://a10.gaanacdn.com/gn_img/albums/01A3mrWNQX/1A3mJkGnWN/size_m_1552901436.jpg,https://a10.gaanacdn.com/gn_img/albums/01A3mrWNQX/1A3mJkGnWN/size_l_1552901436.jpg,https://a10.gaanacdn.com/gn_img/albums/01A3mrWNQX/1A3mJkGnWN/size_xl_1552901436.jpg,https://gaana.com/song/ve-maahi-3,hi,"Mar 18, 2019",25751482,gaana,"{'Arijit Singh', 'Asees Kaur'}"
223,Duniyaa,Luka Chuppi,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVvAmzgWk/size_m_1551078085.jpg,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVvAmzgWk/size_l_1551078085.jpg,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVvAmzgWk/size_xl_1551078085.jpg,https://gaana.com/song/duniyaa,hi,"Feb 25, 2019",25569525,gaana,"{'Bhrigu Parashar', 'Akhil', 'Dhvani Bhanushali'}"
235,Kaise Hua,Kabir Singh,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa794R2WD/size_m_1560412400.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa794R2WD/size_l_1560412400.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa794R2WD/size_xl_1560412400.jpg,https://gaana.com/song/kaise-hua-1,hi,"Jun 13, 2019",27112488,gaana,{'Vishal Mishra'}
193,Mere Sohneya,Kabir Singh,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3Zmp6q0K5/size_m_1559793941.jpg,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3Zmp6q0K5/size_l_1559793941.jpg,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3Zmp6q0K5/size_xl_1559793941.jpg,https://gaana.com/song/mere-sohneya,hi,"Jun 06, 2019",27019948,gaana,"{'Sachet Tandon', 'Parampara Thakur'}"
266,Chashni,Bharat,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3Gy2ly6bq/size_m_1556646456.jpg,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3Gy2ly6bq/size_l_1556646456.jpg,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3Gy2ly6bq/size_xl_1556646456.jpg,https://gaana.com/song/chashni-1,hi,"May 01, 2019",26281527,gaana,{'Abhijeet Srivastava'}
177,Photo,Luka Chuppi,https://a10.gaanacdn.com/gn_img/song/Rz4W87v3xD/4W820Bj1Kx/size_m_1549901713.jpg,https://a10.gaanacdn.com/gn_img/song/Rz4W87v3xD/4W820Bj1Kx/size_l_1549901713.jpg,https://a10.gaanacdn.com/gn_img/song/Rz4W87v3xD/4W820Bj1Kx/size_xl_1549901713.jpg,https://gaana.com/song/photo-50,hi,"Feb 12, 2019",25487395,gaana,{'Karan Sehmbi'}
179,Coca Cola,Luka Chuppi,https://a10.gaanacdn.com/gn_img/song/lJvKa63DV9/vKalNOlXbD/size_m_1549262875.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa63DV9/vKalNOlXbD/size_l_1549262875.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa63DV9/vKalNOlXbD/size_xl_1549262875.jpg,https://gaana.com/song/coca-cola-38,hi,"Feb 04, 2019",25433500,gaana,"{'Neha Kakkar', 'Young Desi', 'Tony Kakkar'}"
235,Ishq Ka Raja,Ishq Ka Raja,https://a10.gaanacdn.com/gn_img/song/Bp1bAynb02/1bADVlD4W0/size_m_1548904237.jpg,https://a10.gaanacdn.com/gn_img/song/Bp1bAynb02/1bADVlD4W0/size_l_1548904237.jpg,https://a10.gaanacdn.com/gn_img/song/Bp1bAynb02/1bADVlD4W0/size_xl_1548904237.jpg,https://gaana.com/song/ishq-ka-raja,hi,"Feb 01, 2019",25404463,gaana,"{'Hamsar Hayaat', 'Addy Nagar'}"
253,The Jawaani Song,Student Of The Year 2,https://a10.gaanacdn.com/gn_img/song/d41WjnWPLq/1WjXoBeAKP/size_m_1555568773.jpg,https://a10.gaanacdn.com/gn_img/song/d41WjnWPLq/1WjXoBeAKP/size_l_1555568773.jpg,https://a10.gaanacdn.com/gn_img/song/d41WjnWPLq/1WjXoBeAKP/size_xl_1555568773.jpg,https://gaana.com/song/the-jawaani-song,hi,"Apr 18, 2019",26003717,gaana,"{'Payal Dev', 'Vishal Shekhar', 'Vishal Dadlani', 'Kishore Kumar'}"
277,First Class,Kalank,https://a10.gaanacdn.com/gn_img/song/DwPKOxB3qV/PKOzOk6Bbq/size_m_1553241408.jpg,https://a10.gaanacdn.com/gn_img/song/DwPKOxB3qV/PKOzOk6Bbq/size_l_1553241408.jpg,https://a10.gaanacdn.com/gn_img/song/DwPKOxB3qV/PKOzOk6Bbq/size_xl_1553241408.jpg,https://gaana.com/song/first-class-49,hi,"Mar 22, 2019",25815954,gaana,"{'Arijit Singh', 'Neeti Mohan'}"
