title,image_200,album,lyricist,hungama_id,provider,singers,shortUrl,keywords
Ek Ladki Ko Dekha Toh Aisa Laga - Title Track,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5884761457.jpg,Ek Ladki Ko Dekha Toh Aisa Laga,{'Javed Akhtar'},45370885,hungama,"{'Rochak Kohli', 'Darshan Raval'}",https://www.hungama.com/song/ek-ladki-ko-dekha-toh-aisa-laga---title-track/45370885/,"{'Javed Akhtar', 'Darshan Raval', 'Ek Ladki Ko Dekha Toh Aisa Laga - Title Track', 'Ek Ladki Ko Dekha Toh Aisa Laga', 'Rochak Kohli'}"
Main Wahi Hoon,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5980048444.jpg,Main Wahi Hoon,{'Karma'},48005747,hungama,"{'Raftaar', 'Karma'}",https://www.hungama.com/song/main-wahi-hoon/48005747/,"{'Raftaar', 'Main Wahi Hoon', 'Karma'}"
Dil Royi Jaye,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5979852422.jpg,De De Pyaar De,{'KUMAAR'},47998469,hungama,{'Arijit Singh'},https://www.hungama.com/song/dil-royi-jaye/47998469/,"{'Dil Royi Jaye', 'Arijit Singh', 'De De Pyaar De', 'KUMAAR'}"
Ghar More Pardesiya,https://content.hungama.com/audio%20track/display%20image/200x200%20jpeg/5960771243.jpg,Kalank,{'Amitabh Bhattacharya'},47410816,hungama,{'Shreya Ghoshal'},https://www.hungama.com/song/ghar-more-pardesiya/47410816/,"{'Kalank', 'Ghar More Pardesiya', 'Shreya Ghoshal', 'Amitabh Bhattacharya'}"
Nai Lagda,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5954136355.jpg,Notebook,{'Akshay Tripathi'},47314725,hungama,"{'Asees Kaur', 'Vishal Mishra'}",https://www.hungama.com/song/nai-lagda/47314725/,"{'Nai Lagda', 'Akshay Tripathi', 'Asees Kaur', 'Vishal Mishra', 'Notebook'}"
Dilbar-Ishare Tere-Tere Te,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5964182651.jpg,T-Series Mixtape Season 2,{'Sameer'},47585650,hungama,"{'Vee', 'Abhijit Vaghani', 'Guru Randhawa', 'Neha Kakkar'}",https://www.hungama.com/song/dilbar-ishare-tere-tere-te/47585650/,"{'Abhijit Vaghani', 'Dilbar-Ishare Tere-Tere Te', 'Guru Randhawa', 'Sameer', 'Vee', 'Dilbar-Ishare Tere-Tere Te (From ""T-Series Mixtape Season 2"")', 'Neha Kakkar'}"
Sajna Ve,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5982257163.jpg,Sajna Ve,{'Vishal Mishra'},48056556,hungama,"{'Lisa Mishra', 'Vishal Mishra', 'Warren Mendonsa'}",https://www.hungama.com/song/sajna-ve/48056556/,"{'Lisa Mishra', 'Vishal Mishra', 'Sajna Ve', 'Warren Mendonsa'}"
Mungda,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5953544688.jpg,Total Dhamaal,{'Kunwar Juneja'},46826204,hungama,"{'Shaan', 'Subhro Ganguly', 'Jyotica Tangri'}",https://www.hungama.com/song/mungda/46826204/,"{'Total Dhamaal', 'Subhro Ganguly', 'Mungda', 'Shaan', 'Jyotica Tangri', 'Kunwar Juneja'}"
Zinda,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5980755675.jpg,Bharat,{'Ali Abbas Zafar'},48029952,hungama,{'Vishal Dadlani'},https://www.hungama.com/song/zinda/48029952/,"{'Vishal Dadlani', 'Zinda', 'Ali Abbas Zafar', 'Bharat'}"
Speaker Phat Jaaye,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5953544688.jpg,Total Dhamaal,{'Kumaar'},47117366,hungama,"{'Aditi Singh Sharma', 'Abuzar Akhtar', 'Jonita Gandhi', 'Harrdy Sandhu'}",https://www.hungama.com/song/speaker-phat-jaaye/47117366/,"{'Aditi Singh Sharma', 'Abuzar Akhtar', 'Kumaar', 'Jonita Gandhi', 'Total Dhamaal', 'Speaker Phat Jaaye', 'Harrdy Sandhu'}"
Mukhda Vekh Ke,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5979852422.jpg,De De Pyaar De,{'Kumaar'},48000706,hungama,"{'Dhvani Bhanushali', 'Mika Singh'}",https://www.hungama.com/song/mukhda-vekh-ke/48000706/,"{'Kumaar', 'Dhvani Bhanushali', 'Mukhda Vekh Ke', 'De De Pyaar De', 'Mika Singh'}"
Woh Baarishein,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5993082200.jpg,Woh Baarishein,{'Arjun Kanungo'},48334080,hungama,"{'Yogesh Pradhan', 'Arjun Kanungo', 'Ajay Jayanthi', 'Sasmit Rudra'}",https://www.hungama.com/song/woh-baarishein/48334080/,"{'Yogesh Pradhan', 'Arjun Kanungo', 'Woh Baarishein', 'Ajay Jayanthi', 'Sasmit Rudra'}"
